Country,Official Name,Name for Citizen,Adjectival Name,Notes,The two-letter ISO 3166-1 code,The three-letter ISO 3166-1 code
Akrotiri,Akrotiri,Inapplicable,Inapplicable,Akrotiri and Dhekelia are classed together as Sovereign Base Areas.,,
Anguilla,Anguilla,Anguillan,"Anguillan, Anguilla",,AI,AIA
Bermuda,Bermuda,Bermudan,"Bermudan, Bermuda",,BM,BMU
British Antarctic Territory,British Antarctic Territory,Inapplicable: no indigenous or permanent resident population,British Antarctic Territory,"The British Antarctic Territory consists of all land, islands and ice shelves south of latitude 60°S between longitude 20°W and 80°W.",,
British Indian Ocean Territory,The British Indian Ocean Territory,Inapplicable: no permanent resident population,British Indian Ocean Territory,"The British Indian Ocean Territory consists of the Chagos Archipelago, including Diego Garcia.",IO,IOT
British Virgin Islands,The Virgin Islands,British Virgin Islander,British Virgin Islands,It is important not to confuse the British Virgin Islands with the United States Virgin Islands: 'Virgin Islands' should therefore not be used wherever there may be ambiguity.  The Islands have normally been called the British Virgin Islands since 1917 when the Danish West Indies were acquired by the United States and named the US Virgin Islands.,VG,VGB
Cayman Islands,Cayman Islands,"Cayman Islander, Caymanian",Cayman Islands,,KY,CYM
Dhekelia,Dhekelia,Inapplicable,Inapplicable,Dhekelia and Akrotiri are classed together as Sovereign Base Areas.,,
Falkland Islands,Falkland Islands,Falkland Islander,Falkland Islands,,FK,FLK
Gibraltar,Gibraltar,Gibraltarian,"Gibraltarian, Gibraltar",,GI,GIB
Montserrat,Montserrat,Montserratian,"Montserratian, Montserrat",,MS,MSR
"Pitcairn, Henderson, Ducie and Oeno Islands","Pitcairn, Henderson, Ducie and Oeno Islands",Pitcairn Islander or Pitcairner,"Pitcairn, Henderson, Ducie, Oeno (as appropriate)",The term 'Pitcairn Islands' may be used in informal contexts.,PN,PCN
"St Helena, Ascension and Tristan da Cunha","St Helena, Ascension and Tristan da Cunha",St Helenian or Tristanian as appropriate. Ascension has no indigenous population,"St Helenian/St Helena, Ascension and Tristan da Cunha (as appropriate)","The territory of St Helena, Ascension and Tristan da Cunha comprises St Helena, Ascension and Tristan da Cunha (together with Gough, Inaccessible, Nightingale, Middle and Stoltenhoff Islands).",SH,SHN
South Georgia and South Sandwich Islands,South Georgia and the South Sandwich Islands,Inapplicable: no indigenous or permanent resident population,"South Georgia, South Sandwich Islands (as appropriate)",,GS,SGS
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islander,Turks and Caicos Islands,,TC,TCA
