alpha3	world-location
AFG	country:AF
ALB	country:AL
DZA	country:DZ
ASM	territory:AS
AND	country:AD
AGO	country:AO
AIA	territory:AI
ATA	territory:AQ
ATG	country:AG
ARG	country:AR
ARM	country:AM
ABW	territory:AW
AUS	country:AU
AUT	country:AT
AZE	country:AZ
BHS	country:BS
BHR	country:BH
BGD	country:BD
BRB	country:BB
BLR	country:BY
BEL	country:BE
BLZ	country:BZ
BEN	country:BJ
BMU	territory:BM
BTN	country:BT
BOL	country:BO
BIH	country:BA
BWA	country:BW
BVT	territory:BV
BRA	country:BR
IOT	territory:IO
VGB	territory:VG
BRN	country:BN
BGR	country:BG
BFA	country:BF
BDI	country:BI
KHM	country:KH
CMR	country:CM
CAN	country:CA
CPV	country:CV
BES	
CYM	territory:KY
CAF	country:CF
TCD	country:TD
CHL	country:CL
CHN	country:CN
CXR	territory:CX
CCK	territory:CC
COL	country:CO
COM	country:KM
COG	country:CG
COD	country:CD
COK	territory:CK
CRI	country:CR
HRV	country:HR
CUB	country:CU
CUW	territory:CW
CYP	country:CY
CZE	country:CZ
CIV	country:CI
DNK	country:DK
DJI	country:DJ
DMA	country:DM
DOM	country:DO
ECU	country:EC
EGY	country:EG
SLV	country:SV
GNQ	country:GQ
ERI	country:ER
EST	country:EE
ETH	country:ET
FLK	territory:FK
FRO	territory:FO
FJI	country:FJ
FIN	country:FI
FRA	country:FR
GUF	territory:GF
PYF	territory:PF
ATF	territory:TF
GAB	country:GA
GMB	country:GM
GEO	country:GE
DEU	country:DE
GHA	country:GH
GIB	territory:GI
GRC	country:GR
GRL	territory:GL
GRD	country:GD
GLP	territory:GP
GUM	territory:GU
GTM	country:GT
GGY	territory:GG
GIN	country:GN
GNB	country:GW
GUY	country:GY
HTI	country:HT
HMD	territory:HM
HND	country:HN
HKG	territory:HK
HUN	country:HU
ISL	country:IS
IND	country:IN
IDN	country:ID
IRN	country:IR
IRQ	country:IQ
IRL	country:IE
IMN	territory:IM
ISR	country:IL
ITA	country:IT
JAM	country:JM
JPN	country:JP
JEY	territory:JE
JOR	country:JO
KAZ	country:KZ
KEN	country:KE
KIR	country:KI
KWT	country:KW
KGZ	country:KG
LAO	country:LA
LVA	country:LV
LBN	country:LB
LSO	country:LS
LBR	country:LR
LBY	country:LY
LIE	country:LI
LTU	country:LT
LUX	country:LU
MAC	territory:MO
MKD	country:MK
MDG	country:MG
MWI	country:MW
MYS	country:MY
MDV	country:MV
MLI	country:ML
MLT	country:MT
MHL	country:MH
MTQ	territory:MQ
MRT	country:MR
MUS	country:MU
MYT	territory:YT
MEX	country:MX
FSM	country:FM
MDA	country:MD
MCO	country:MC
MNG	country:MN
MNE	country:ME
MSR	territory:MS
MAR	country:MA
MOZ	country:MZ
MMR	country:MM
NAM	country:NA
NRU	country:NR
NPL	country:NP
NLD	country:NL
NCL	territory:NC
NZL	country:NZ
NIC	country:NI
NER	country:NE
NGA	country:NG
NIU	territory:NU
NFK	territory:NF
PRK	country:KP
MNP	territory:MP
NOR	country:NO
OMN	country:OM
PAK	country:PK
PLW	country:PW
PSE	territory:PS
PAN	country:PA
PNG	country:PG
PRY	country:PY
PER	country:PE
PHL	country:PH
PCN	territory:PN
POL	country:PL
PRT	country:PT
PRI	territory:PR
QAT	country:QA
ROU	country:RO
RUS	country:RU
RWA	country:RW
REU	territory:RE
WSM	country:WS
SMR	country:SM
SAU	country:SA
SEN	country:SN
SRB	country:RS
SYC	country:SC
SLE	country:SL
SGP	country:SG
SXM	territory:SX
SVK	country:SK
SVN	country:SI
SLB	country:SB
SOM	country:SO
ZAF	country:ZA
SGS	territory:GS
KOR	country:KR
SSD	country:SS
ESP	country:ES
LKA	country:LK
BLM	territory:BL
SHN	
KNA	country:KN
LCA	country:LC
MAF	territory:MF
SPM	territory:PM
VCT	country:VC
SDN	country:SD
SUR	country:SR
SJM	territory:SJ
SWZ	country:SZ
SWE	country:SE
CHE	country:CH
SYR	country:SY
STP	country:ST
TWN	territory:TW
TJK	country:TJ
TZA	country:TZ
THA	country:TH
TLS	country:TL
TGO	country:TG
TKL	territory:TK
TON	country:TO
TTO	country:TT
TUN	country:TN
TUR	country:TR
TKM	country:TM
TCA	territory:TC
TUV	country:TV
UMI	
VIR	territory:VI
GBR	country:GB
USA	country:US
UGA	country:UG
UKR	country:UA
ARE	country:AE
URY	country:UY
UZB	country:UZ
VUT	country:VU
VAT	country:VA
VEN	country:VE
VNM	country:VN
WLF	territory:WF
ESH	territory:EH
YEM	country:YE
ZMB	country:ZM
ZWE	country:ZW
ALA	territory:AX
